Ã¯Â»Â¿Id,Sentiment,Tweets
55.0,-1,username pikir manusia bodoh eehhh tanteibuomaempo otak lu picik bngt ya jga manusi larang emang dunia orang larang ngungkapin unek stupid human
56.0,-1,heran deh yg ngatain si via baperan ya wajar dese baper udin muak orang yg munafik sok dese kabar yg baperan laki orang ga nyadar tuh puja att gotong royong nasehatin att gila muja att mojokin viaa dese manusia les ahh
57.0,-1,username yg komen via nyinyir mulu duh kyak gak nyinyirin orang aja parah kalo org sok bener mah gitu pdhal media sosial hak instagram instagram yg nyinyir gak pake ig s
58.0,-1,username pikir manusia bodoh eehhh tanteibuomaempo otak lu picik bngt ya jga manusi larang emang dunia orang larang ngungkapin unek stupid human
59.0,-1,username nya ngatain org nyindir netijen goblog banyak masyako
60.0,-1,username didik ortunya nagita bagus heran dg balajaer nagita yah yg rugi sm junjunganny knp yg benci bodoh bgt asli
61.0,-1,username pdhl km kampung lohpake kerudung mulut cuihh
62.0,-1,belajaer tuh ya hahahaha bela artis ampe begitu manusah begoh
63.0,-1,username iya norak kampyuung coba liat artis adem ayem liat isyana liat agnezmo liat mba liaaat liat aja coba telaah deh kasih tau contoh artis better eh jawab ya cocok la
64.0,-1,username gak sok high class mba liat komenmu artis beda mbak yg suka curhat ig yg curhat temen yg curhat tuhan ngak trus mulut situ maju otak mikirnya yg curh
65.0,-1,username goblok gak netizen yg kontra sm postingan si via bakajaer kali mbamas ih goblok piara lol
66.0,-1,sih emg artis ko artis indo ny ngurus prestasi sosmed ny mulu isi nya jd jatoh nya kampung
67.0,-1,username aj kn y mba kaya agnes mo bnyk harga ny tp g kampung beda am yg
68.0,-1,munafik bgt yg ngomong curhat sosmed kampung gua elu kitu keleusss wkkwkww mending mba via artis cantik bs nyanyi la elu lbh kampung wkwkwkwkw
69.0,-1,usernamewawan zzzzz emng artis ga tmn dikit dikit att hahaha curhat sosmed kampung
70.0,-1,lemes ya mulut berani ststus udah gitu tulis sengaja biar ga baca takut kali labrak mmmm artis kampung sih ya wajar ya
71.0,-1,username main main jawa timur biar ga begok
72.0,-1,username nya ngatain org nyindir netijen goblog banyak masyako
73.0,-1,username udah nunjukin karya situ pny karya karya nyinyir hidup via tolol
74.0,-1,username bilang gw fansnya via duh nantangin gw nih org anak tolol ank alay jablay
75.0,-1,username yutub ya mba aplikasi ya sy tau youtube mba gak tau ya seseorg bs dpt hasil salah satu dr youtube loh mreka jg bayar klo bnyk yg ntn video mreka sekolah yg bener deh mba biar pinter generasi muda
76.0,-1,gue suka gangerti deh yaa kalo via vallen bikin status apa sangkut pautin ama att mulu att nya aja aja fansnya sih yg bikin jelek orang kalo sangkut pautin mulu jg lamalama gerah kali
77.0,-1,jujur aja ya ni org bagus kaga oplasada tu foto sblm dn oplasdioplas muka anehkyknya gagal oplasnya
78.0,-1,noraaak abiiis kebel emas az pamer aplg main berlian ciiinnnnn
79.0,-1,before and after pasca oplas ga ngefek ya tetep jelek n rem mukanyaahahahhaha
80.0,-1,salfok muka sumpah jelek oplas model failed
81.0,-1,norak bener gaet jahat
82.0,-1,najisapalagi d philipine bgt kalid aj banggajd usak moral ko bangganajis banget liatnyackp d aj komen nydia pngn ngetop lwt nitezerrrewkwkwkngarep laku
83.0,-1,gua bingung jujur media rebut ngeliput orang kayak cuman net doang media informasi waras
84.0,-1,jedun yg ga becus perempuan hormat ga becus perempuan cerdas ga becus perempuan yg cari suami sah suami orang ga becus perempuan yg hindar narkoba ga becus perempuan yg jaga nama keluarga moga perempuan yg kayak dunia ya jedun
85.0,-1,cewe yg bgni yg hrsnya gosong jd abu aja bakar pabrik yg lg viral kmrn tu bnr slain ga brguna gda otak cm modal ngangkang trs gebet laki org trs bangga btw klo emg instastory nya nyindir bin tua mah ehhh at least biar ga becus jd prewi tp becus cuii jd emak bukti anak nya bejibun trs smua pro emaknya drpd bapak
86.0,-1,hahahakasian yagak becus peremharus ngerebut laki orang biar kata perempuan dasar perempuan sadar ente cuy
87.0,-1,dasar artis abal abal enggk laku layar kacaudh enggk duit kere miskinjadi maen k dukun elmu pelet rebut suami org yg kaya
88.0,-1,ih becus makrum becus ngrebut suami orang hehe
89.0,-1,eeee si lacur situ becus jd brempuan emang becus sampah sih iya edeuuuuuh lonte lonte
90.0,-1,biarinpuas puasin mumpung deseu brasa muda ntar klo dah tua nyaho karma
91.0,-1,anak perempuan lho contohin jelek anak becus perempuan amit amit
92.0,-1,kaya becus aja jd permpuan yng g becus jd perempuan ko suka sm laki orng heheh
93.0,-1,yg gk becus tuh loh jedunhidup nya bisa ngerusak kbhgiaan org hidup serba mewah tp g krja mlh morotin laki orgkarma psti akn mnghampirimu
94.0,-1,gue gak suka sm ni orang idupnya banyak ribut
95.0,-1,dasar artis abal abal enggk laku layar kacaudh enggk duit kere miskinjadi maen k dukun elmu pelet rebut suami org yg kaya
96.0,-1,yg nama ny plagiat ya plagiat laku tp tetep ajah cipta dri hasil plagiatwkwkwkwk gua mah ogah dwngerin ajah udh pngen muntah
97.0,-1,dasar plagiat ga kreatipmemalukab bgt
98.0,-1,bego bilang apa yaaa lirik aja cinta gitu lagu bener tolol si ayu gapunya kuping y orang yg dipermasalahin nada
99.0,-1,pacar anggel pietrs kali cowok bocah username yaelah jes terxta laku mu aja sprti ayuting hidup penuh drama murah
100.0,-1,japok gateeel emanguda main si mamadsampe si jessica dimusuhindeddy corbuzier aja jijik si japok semenjak nagita undang hitam putih nagita cerita panggungitu aja sih gue
101.0,-1,username malu buk ngomong pelakor emang ibuk udah pelakor ya tau ayu pelakor wkwkwkwkwk awas rumah tangga yg dimasukin pelakor anak pelakor
102.0,-1,kerdus mulut busukjangan sampah makan
103.0,-1,username tai loe gedein bagus pupuk jngan bacot loe goblok nih cewek knpa bawa suku
104.0,-1,elo artis papan blenyek aja belagu artis kga populer sekalu hahaha
105.0,-1,anang muka nya kaya babiii gitu aja demenin jijikk
106.0,-1,ga suka ayu ting ting ga parah ngejudge nya hati otak manusia kurang lebih asa enak nya menjudge orang kaya udah sempurna aja lo username
107.0,-1,ga pantes panggil ustadorg munafik ceramah org laku sndr aja menzolimi istri sah nya dgn poligami diamkacian istri pertamanyaga tw malu istri hadeh klo yg msh manggil bwt ceramah nama bodo
108.0,-1,biadab klo anak lo bully gue mampusin ya
109.0,-1,dasar anjing tuh cowok org berani cowok one by one yg lemah dasar yah cowok jaman skrg casing doank cowok nyali nya banci
110.0,-1,username iya kasi si micin usah produk micin iklan kalo masak tambah micin biar sedap netizen sudut mecin bodoh orang yg ganggu jiwa ngemil micinjusticeformicin
111.0,-1,wahh jngn vidio lamakok baju norak bngtt ayuuterlihat murahaan
112.0,-1,username bego lo ya
113.0,-1,edit banget ya ampun si mommy lambe habis gosib ya si pelakor
114.0,-1,yah admin nya golong konsumsi mecin pil pcc otak lu rusak min
115.0,-1,org govlok yg prcya ayu slgkuh sma rafibuktinya rafi sma gigi skrg baek ajadan ktamu ayu pelakor suami yg d rebut woyy skrg ayu suami fikir pke otak mkanya jgn kbanyakan micin jdi govlok
116.0,-1,username hoy baris sakit hati jijikk banget fans billy mah alhamdulillah bgt billy putus manusiaa buluk ituu yg tunggu akhiry putus kobil jg jijik ni orang v
117.0,-1,mba username gak ngerasa cinlok babang anthony ketemu mana sih set boy alah ngaku ajaaa mba dumang cinlok sok bilang gak cinlok nama bodoh wajar netizen bilang ratu cinlok nyata emang ya marah resiko artis hahahhaa pinter ya mba cari alas hahahahaha
118.0,-1,username noh urus tu kuin lu biar ga gatel nempel ama laki orng masyarakat udh tau kali japok gundik janda gateludh nyata nya begtu anak sholehah agama nya kuat mata kuliah agama cma dpt agama nya kuat tpi hamil
119.0,-1,username bilang tu kuin lu gesek grepe ama lakik orng ga malu udh hamil nikah kegatelan janda
120.0,-1,username please lo bela pelakorini hukum si muljem karna uda tega recut suami sahabat sendiridia jalan sanksi sosial valakor mesti benci karna biar ga valakor indonesiabiar musnah sem
121.0,-1,najis muakk jijik pelakor jijik
122.0,-1,moga pelakor kena karma moga karma yg tinggal istri yg bwrjuang dg dr nol tp sukses selingkuh sok jd kuasa istri ya
123.0,-1,sedih ya skrg ngamen kawin org mantan istri mahhhh pesawat jet bhay pelakor n botakbego
124.0,-1,username heeehh lo pelakornya yaaaakkk ngapa lo emosi situuu kenal gw kalo berani pake akun asli pantes pake akun bodong ngerebut laki orang diem ceplos yak pake bodong ngakak gueeee lucu lo
125.0,-1,wkwkwkwk udh gak laku jd nyanyi dhajatan si lonte pelakor
126.0,-1,username wakakak cerita kyk gituu ajar aja jgn sampe ni swamik swamik milih pelakor drpd istri hancuuurr bookk ga bohong deh kere kismin nyungsep emang yg ngatur rezeki tu tuha
127.0,-1,cwenya yg bego cwonya yg pinter ya emg laki kaya macho gitu plus nya kaya jago gombal maennya gesit ulala ngakakabis
128.0,-1,username yg bodoh ngapain keluarga depok komen org yg gak aja yg hidup gak bahagia yg suka hujat orang hidup artis ayu pengaruh emang dasar benci ayuklo
129.0,-1,username mah lihat yg main prasangka kayak eluelu haters kayak dukundukun titis dajjal sok pinter otak kosong sorry ye gue bala nabi muhammad yg percaya klo udh ditunjukkin saksi bukti klo
130.0,-1,mata ku sepet baca koment fans ubul empang minggir woy bikin rusuh aja nih jaer amis jijik sumpahsoal enji sm cewek ttp aja bala jaer nyampah bikin ribut
131.0,-1,sih si enji hart kah males banget jijik laki model mah gak tanggung jwbnya ayu bunting tinggalin anak gak akuin skrg anak udh nongol bilqis cantek eh sampek bini nya ngeposting yg enji kangen anak najonggg jijik betoll dah deh min gak bahas laki hart aja gak panutan yg ambil username
132.0,-1,username bego nya pede ngomong yg bilang bener bukti aja kaga liat pinter jatohnya bego
133.0,-1,bilang enji ganteng bebas slingkuh bego kali ganteng pala lu bau menyan gada ganteng ganteng nya banyak gaya kek mantan bini depok nya
134.0,-1,sebenarnye cocok enji att gateeeel hahah pantesan si tongtong temu dgn enji udh hukum alam klw jodoh cermin si entong hrsnya bekaca dgn biar sadar tp teryata otak m tetep tahan jd skrg mlh guatelnye aja kek enji hah
135.0,-1,username oalaahhh aja pelakor laki nya jg kegatelan tp nama laki kucing ksh ikan jaer gratis ya kga nolak wkwkkwkw
136.0,-1,laki ya sis suka pecun murah prempuan jilbab ato pintar enji downgrade sih dangdut kelas prempuan jilbab ehh milih pecun jelek selera
137.0,-1,motorninja aj songong mba org yg mobil lamborgini aj wae
138.0,-1,goblok gua nonton kali kaget
139.0,-1,ga usa pake anjing babi kalo gw bls gitu wkwk
140.0,-1,oh kemaren harga karya orang bilang jelek banget aduh penganten perempuan nya kenyang yah ampe kembung gitu perut nya pepuralugu
141.0,-1,percaya gimik raffi gigi dn attsehingga att serta keluarga hujad dn anak nydi hujad kesini tonton bodohin publik yg kasihan penghujad ga ayu ga pesbukers biar ngeluarkn album single artis hal nengri gimik yoo
142.0,-1,kalo bener gimmick bodoh banget si ayu rating n popularitas berani taruhin harga nilai buruk mata masyarakat
143.0,-1,susah otak diemvang mah bikin rusuh lapak orang
144.0,-1,najiiisss kayak si mba dese ga gitu ajaaa hahahahaha maling teriak maling ngaca buuuuuk
145.0,-1,username iyak kaa hahahahah geli bgt gasih att ih kampung abis
146.0,-1,joget bikin ngakakkk anjirrrr kampung banget username username
147.0,-1,bagus la gue otak gak kayak lu malu maluin mak lu aja tong akun asli pake tu yg nama bego username
148.0,-1,yg bego mah elu sih yg ngasih contoh buruk anak pake mata lo emg dugem bawa anak bego sih jaman udah texas gue jamin jam anak jga udh texas selagi ga ngerugiin lo yaudah sewot banget
149.0,-1,si wanita jahiliyah lesbi skrg udh py pacar lg kasi anak kmrn ksh bencana slnya tega misahin anak dr nya ktakutan anak nya masuk islam pdhl bp nya g prnh nuntut anak peluk islam udh ksh nikmat anak org msh aja begajulan
150.0,-1,username gw emang kador artis beneran komen lo tolol sumpah kenal nilai artis hahaha org indo jg tuju kalo kador artis tp celebgram dr kampung lo tau beda artis dg selebgra
151.0,-1,username hahahaaaa trs gue lo tolol pake nanya kador bencong ngga blm kenal wkwkwkwkw eh org jg nilai si kador bencong beneran dr gerak gerik melambay suara ngondek pake baju cewek nyaman cowok tu
152.0,-1,username maklumin shaaay fans gatis keras otak bebel realita jg ga terima hal nagita artis uda dr jaman eh bilang numpang tenar rapi mamadpdhl yg jadiin si mamad gede y ph n
153.0,-1,usernamebee idih najong lu tag org nimbrung aja kek mujaer lo ga kenal klo ga bawa nama ayu ting ting sm nagita duh bego piara kesi
154.0,-1,langsung bilang yg maksud klu gin nama munafik
155.0,-1,jedar emg muka kali depan belakang busuk mulut kek banci cucoklah banci tu
156.0,-1,amit amit deh orang jahat jilat bohong pelakor jijik banget
157.0,-1,wkwkwkwk ya allah ya tuhan ku knp org munafik ni tp sok suci mulan jamela ayu ting ngikuti jejak a wkwkwk username
158.0,-1,dlu si pelakor yg sombong krn brhasil dapetin si botak smpe mnceraikan bunda mayaskrg hdp ny mkin anjlok bunda maya yg sring jelong kluarnegri
159.0,-1,hahhahaha sungguh allah swt laknat wanita rebut zina suami sah oranglain
160.0,-1,hemmmm capekmiskin sist skrg blik kere lg jd artis jg g laku dah karma tu username dr sirik nyinyirin nyonya tuh bantuin jual cireng nya tuh cilok nya tuh untun libur monaco bromo trus
161.0,-1,kepo sm nyonyiah lu jongos username emng tetehlu pas hamil peak udeh dinikahin brojol anak br sirih emng lonteeeee kelas akun jamahliur junjung hehe
162.0,-1,eh jongos cba gue duluan yg nanya sm lu emng nyonyiah gembar gembor udah nikah ada nyonyiah ngaku udeh nikah dr tetehlu yg lonte perek brojol ngaku nikah siri sm laki nyonyiah hamidun sapeak anak ilegal dibilng fitna keji haha lonte tolak lupa xixix username
163.0,-1,username gua currr ya bunmai sdh nikah tp janda janda suami nya rampas mulan jameelamenjijikkan banget ya mulan jameela sblm rmh tangga bunmai hancur sdh berani bilang dan suami aduha udh wanita be
164.0,-1,username lucu aja ya sist lonte bela mati guoblok pelihara bayar gt muljamban sampe bikin account username maia nikah blm nikah urus situ nyinyir sirik nya
165.0,-1,yaela muljem kyak stu bner aja gag inget udh ngrusak kbhagian klwrga org bego d prtahanin y gin
166.0,-1,lakik doyan banci banci kawinin banci jijik
167.0,-1,username comment yg lihat brp guna medsos yg bodoh bunyi situ sehat pakai hijab mas nyinyir aja
168.0,-1,username malu tuh kerudung sayang ibadah nya sholat aja drpd nyinyirin org dandan udh sok suci mulut nya kaya sampah
169.0,-1,username tolong baca arti dr comment udah kerdusbodoh lg bilangin org tua nya besok kalo masak pakai mecin jd udah kerdungab ga sesuai mulut besok makan salmon kalo g besok deliv rumah
170.0,-1,maaf muka jelek attitude nya burukspesialis plagiatdan tau
171.0,-1,orang otak ga sekolahin ya resiko udah upload sosmed ya dapet bincang netizen public figure ga otak
172.0,-1,artis kampung wkwk
173.0,-1,iyaaa gue pacar udah nikah gak norak eloo gak risih emang jgn aplod perhatiin followers lu yg lumayan tar bawa norak
174.0,-1,y ampun pnyanyi dangdut tenar songong bangt bacot pngn nyari sensasi kmpungan bangt deh amit amit bool ko d instastory
175.0,-1,waaaaoooosopan bahasami kelas heeeehh yg repot ama hidup lu siapahh elu live nampilin gak pentingyg nggilanikk menjijikkandiliat org ya pantes dikomenklo gak mw dikomen videoin pribadi aja nonton lu ama kluarga lu rmh nambah niy ertong yg gak pny attutude kampung
176.0,-1,norak sihkayak ga malunyakl bilang serah diaya udahsimpan fotonyagak bagi semua orang pamer kemanaresikolah nyinyir oranginsecure bangetkudu ya pamer gitu biar orang ngerti kl si mbak udh py pacar yg pamer pantatnyakampung bgt
177.0,-1,koq marah sehhhdasar wanita kampung
178.0,-1,kampung artis yg numpang tenar gara muka katy perry doang
179.0,-1,susah kalo artis kampung
180.0,-1,ah min gue gak suka akun nih berita nya basi lo liat min si kellen amora dateng pake jingkrak lo saring min biar berita nya gak blunder lo posting tu kd udah posting videon kellen ma amora joget ma si arsya arsyi
181.0,-1,username iyakm bening lewat bening buluk ya mbak mbak nelen apasih komen kaya gin surup
182.0,-1,keluarga ngefans kagum lihat username nya dehtapi lihat anak nya yg jelekbuluk usernamehermansyah username kutuk yg timpa bunda kd untung allah swt ganti amora adik nyagemezzzzzzz lihat nya cocok banget anak artis class bunda kd
183.0,-1,emang dasar si anak nya aja yg lebayurusan pribadi umbarbiar blow up hadehhgunanya whatsapp sms or telp apasuka aneh
184.0,-1,coba liat bibir mu sayang pantat ayam wajah mu bulu kentut perfectoooo
185.0,-1,gagal fokus dengar suara koq jengkel ya dengernya sorry cuman manusia kalo jengkel
186.0,-1,muljem ngomong gak blepot gak nyadar idup enak aja pake rebut laki orang
187.0,-1,lucu ya si yg bikin katabawa tuhankalau dah pepet ga tau org yg rusak rumah tangga orgibarat roboh bangun masjid mbak nyabayangin aja nya dosa munasi dah jdi bubur mba nya moga bahagia dunia
188.0,-1,iyah bener rubah pandang tuhan elu setan mikirrrr suami majikan embat
189.0,-1,giling mulan jalang lg kasih ceramah hahahaha dasar cireng gak tau gak ngaca si cireng lg ceramah sok kyk pahlawan siang biar teman ama ter kyk selpii
190.0,-1,ya pandang tuhan lo jelek sih gue rebut suami orang tuh mulia mata tuhan
191.0,-1,karna sejati kau setan wujud manusia karna kerja setan ya goda manusia
192.0,-1,ngga mba username baca netizen yg nyesel ga bs nimpuk telor si mulangw aja ketawa baca krn wakil ya ngapain buang wktu ketemu orang gak mutu dng si mulanmsh untung nyempetin bs nuli biar nyadar tuh pelakor ga harga mending ketemu org spt bunmaiketularan aura positif
193.0,-1,editanx paraaaahhoplas aj laaah nyai drpd ngedit gn hahaa kn maluuu
194.0,-1,jeleklecekbantet
195.0,-1,gin ken tenar ya ampuuunmalu kalo anak yah kasi
196.0,-1,heran gw mak username knp aja pake ma anv pesbur ny bederet skandal tubi gk malu ny muka tembok gak faedah ny nonton acara yg si manusia kardus
197.0,-1,wey org goblok bedain vape shisha sm rokok lo ngerokok pake acara ga ngaku
198.0,-1,jijik liatnyakaya ulet bulu kluget gituhihihiampe sgitunya ken kenal
199.0,-1,jablay anjir muka murah bangetttt najisss
200.0,-1,usernamealycia iya sist jijik banget gw liat sok suci ngatain orang kalo gw sih malu artis papan otak gak fikir kalo ngomong tau bngt gada wibawa kalo emang nyadar tau komentar manusia gada yg
201.0,1,sabar yaa insya allah buka pintu syurga halang api neraka orang tua
202.0,1,lagu baru mbak tata kisah rumah tangga mbak tata mbak tata bener sayang get suami syukur baik moga awet
203.0,1,yg komen si mbak ga sedih ketawa ya iya klo dah sakit sm pasang smpe larut ngapain sih sedih ampe depresi serahin sm allah ajabawa happy aja mski sakit si mba senyum wajah tp hati tau senyum bs jd menetralisir kondisi hati yg lg puruk pepatah bilang klo bahagia jgn trllu bahagia klo sedih jgn trllu sedih imbang aja biar ga gila
204.0,1,suka banget pasang moga gigi raffi keluarga sakinnah mawaddah warrahmah moga pisah jodoh maut pisah amiin
205.0,1,jemima anak angkat celine eleeya anak hubung celine dirly haru tau jemima anak panti asuh rawat wajar stefen pilih celine karna hati
206.0,1,lucu yg blg stefan menghabiskn muda wkwkumurnya mah gak muda muka aja yg baby face bersyukurbonus celinenya dlu mantan begimane bawah umur ude pacran mcam laki bini hiks lepas tu deh susah ambil putus kaya stefan tipical cowo yg tnggung jwabnya
207.0,1,yg bawa keenan raisa udah bahagia ngedapetin suami super ngemong mature kaya hamish raisa dewasa banding wanita umur mikirin jd gue raisa hamish untung pasang suami istri ga tuh gagal move on so congratz raisa hamish moga nikah sakinah mawadah warahmah
208.0,1,raisa cantik yaaa artis ga tonjol kalo nikah tuh mewah udah cantik sederhana sempurna bgt
209.0,1,karna orang syudah cantik ga dandan heboh utk buat cantik makeup simple gitu aja pesona bikin hamish klepek
210.0,1,bagus cari ilmu mana suami orang didik
211.0,1,sukak cewe cantik kmauan blajarnya
212.0,1,yaampun artis bener bener good attitude layak panutan aja kuliah negri tp karna bakti suami pilih kuliah wilayah suami salut banget
213.0,1,semangat batman username va support karna manusia salah tolong bahas pliis karna udah
214.0,1,username y udh salam knl y mbk neng knl sm mbk sbagai manusia ingetiny sbagai manusia hrs tau jgn sombong yg digedein mentang dah jd artis hahay udh mbk cabut ja y dri komen d foto ni nnt jd korban dy sel
215.0,1,keren yaaa sederhana pancar sukak sm keluarga presiden
216.0,1,presiden embel gelar bangga
217.0,1,proud of you indonesia god bless indonesia
218.0,1,amazing bngt miss national costume kereenn bangga ama budaya indonesia
219.0,1,bangga pasti
220.0,1,proud of you kak dea patut bangga
221.0,1,suka bgt sm pidatox dy pembawaanx bgtu elegan n brwibawah pntas mmg dy mdptkansalut
222.0,1,percaya kak nik orang jujur semangat kak nik hebat
223.0,1,usernamem mba gua jg ga benci nikmir salut ama ga muna artis maaf image aja dpan sok sok aniaya n jual air mata nikita real sygnya msyarakat cendrung yg yg superfisial
224.0,1,cantik alami bedak tebel gaya bak tante
225.0,1,cantik gagah mudah lancar dampe h
226.0,1,cantik dongpenampilannya dewasa sesuai muka cantik indonesiaclassy ayu ayu gimana gitu
227.0,1,lcb cantikk lcb untung dapet duren duren beuntung dpt neng lcb sakina mawaddah warahmah amin
228.0,1,ganteng seragam ganteng panutan keluarga moga anak milik fisik elok mahluk allah ni
