,Tweeted at,User,Content
17,2022-10-13 03:28:43+00:00,afiulhud,"@PendisKemenag Assalamlkum, maaf,Untuk pencairan Insentif Guru ini, penentuanya layak/tdk bagaman ya min ? Ada bbrp guru dpet, dan tdk. Jadi bkin Resah para Guru https://t.co/WXtdvjyn0r"
18,2022-10-06 11:40:04+00:00,Is88Bang,"@PendisKemenag Assalamualikum saya salah satu guru yang mendapatkan uang Fungsional guru  non PNS, tahap pertama saya mendapatkan 1,4 jta dan tahap kedua saya belum mendapatkan uang tersebut, guru lain sudah mendapatkan uangnya. tapi ditahap ini saya belum. mohon pencerahannya
wassalamualaikum"
19,2022-10-04 13:37:00+00:00,pengamat4,"@PendisKemenag Bagaimana dengan dana BOS Automatic adjustment, kapan cairnya min?
Madrasah udah menjerit nih! 🙏"
20,2022-10-03 02:48:59+00:00,syamsul_huda11,"@PendisKemenag Namun sayangnya ada critical poin yang dijadikan catatan dari ""suksesnya min 1"""
21,2022-09-30 03:20:26+00:00,Absorudin,"@PendisKemenag Selesaikan masalah linearitas jurusan kampus di bawah Kemenag, banyak gak diterima saat daftar CPNS, PPPK, PPG. Kapan guru kemenag/ agama disediakan formasi PPPK?"
22,2022-09-24 03:33:55+00:00,ziadatul_wardah,"@PendisKemenag urusan BOP RA uang sedikit,tapi urusan bertele² + jauh dari jangkauan,mahal di ongkos"
23,2022-09-24 03:32:00+00:00,ziadatul_wardah,"@PendisKemenag kembalikan pembayaran BOP RA ke kantor kemenag kabupaten/kota,kanwil banyak masalah dalam pwnyaluran,terutama untuk kami yg berada di kepulauan"
24,2022-09-20 05:34:01+00:00,YNurbayan,"@PendisKemenag Alhamdulillah, walaupun keterbatasan perangkat bisa melaksanakan dgn penjadwalan 3 periode dimulai hari kemarin"
25,2022-09-20 05:14:35+00:00,Azlasy,@PendisKemenag Semoga dilancarkan ya pak
26,2022-09-16 09:39:36+00:00,FitriansyahArif,"@PendisKemenag Semoga Tahun depan bisa menyusul untuk ikut PPG...
Aamiin...."
27,2022-09-14 06:38:51+00:00,nasution_saroha,@PendisKemenag Luar biasa 👍
28,2022-09-14 01:34:25+00:00,HendiSuryanto6,@PendisKemenag Akan tetapi lamban dalam pembayaran dan sering begantung kepada terbit SKAKPT yang membuat terkadang tidak dibayarkan..padahal kalau tunjangan propesi di bayarkan dengan sistem perbulan akan meningkatkan perekonomian dan akan terjadi transaksi yang menguntungkan dan tidak inflasi
29,2022-09-12 21:54:35+00:00,abuyazied9,@PendisKemenag Semangat
30,2022-09-11 06:39:32+00:00,Um1ld,"@PendisKemenag Siswa MTsN yg blum puny KIP, apa bisa buat/daftar di MTsN???"
31,2022-09-06 11:59:04+00:00,SulutPendis,@PendisKemenag 👍
32,2022-09-06 07:49:20+00:00,dhaavhincy,@PendisKemenag min mw tanya klo utk perizinan NIB gmn prosedurnya ?
33,2022-08-31 20:08:31+00:00,laka_muhammad,@PendisKemenag Kapan yah di umumkan hasilnya??
34,2022-08-31 14:25:35+00:00,achank_nozzel,@PendisKemenag Kapan pengumuman nya ya min??
35,2022-08-29 14:21:09+00:00,Absorudin,@PendisKemenag Perbaiki linearitas jurusan ppg antar kementerian agama dengan kementerian pendidikan. Kasian lulusan kampus dibawah Kemenag ijazahnya banyak yg gak linear dgn PPG kemendikbud
36,2022-08-26 11:57:45+00:00,masroni_01,@PendisKemenag Situs SIAGA PENDIS di update kapan ya pak?? Untuk semester  ini??
37,2022-08-26 11:57:40+00:00,masroni_01,@PendisKemenag Situs SIAGA PENDIS di update kapan ya pak?? Untuk semester  ini??
38,2022-08-26 11:57:31+00:00,masroni_01,@PendisKemenag Situs SIAGA PENDIS di update kapan ya pak?? Untuk semester  ini??
39,2022-08-26 11:49:54+00:00,masroni_01,@PendisKemenag SIAGA kapan buka update ya pak ??
40,2022-08-22 02:26:42+00:00,Absorudin,"@PendisKemenag Kampus2 dibawah kemenag yang prodinya menumpang di prodi lain ijazahnya ditolak oleh direktorat PPG kemendikbud, tolong urusi masalah ini. Kasian kuliah capek2, bayar SPP mahal2 ijazah tak di akui (dianggap tidak linear)"
41,2022-08-21 09:09:43+00:00,dwiagussamudra9,"@PendisKemenag 
@Kemenag_RI 

Semoga seleksi penerimaan PPG batch ke 3 guru di kementerian agama lancar dan semua peserta diberi yang terbaik dan lulus........
(Meskipun saya dan yang lainnya belum pernah mencicipi pre tes dll, meskipun bertahun- tahun mengabdi di kementerian)"
42,2022-08-20 02:47:40+00:00,Mr_Syam,@PendisKemenag kenapa pengajuan muadalah selalu filed ?
43,2022-08-19 06:03:56+00:00,Alimusyafak_jpr,@PendisKemenag Semoga mbarokahi bagi kita semua..
44,2022-08-18 08:43:47+00:00,AlusCuy,@PendisKemenag mohon penjelasannya pak direktur Pendidikan Islam Kementerian agama Republik Indonesia kaitan Prodi/jurusan Manajemen Pendidikan Islam /KI kenapa tidak bisa ikut sertifikasi/PPG di kemenag.. justru kenapa di sekolah dinas pendidikan malah di perbolehkan untuk rumpun PAI??
45,2022-08-18 08:43:34+00:00,AlusCuy,@PendisKemenag mohon penjelasannya pak direktur Pendidikan Islam Kementerian agama Republik Indonesia kaitan Prodi/jurusan Manajemen Pendidikan Islam /KI kenapa tidak bisa ikut sertifikasi/PPG di kemenag.. justru kenapa di sekolah dinas pendidikan malah di perbolehkan untuk rumpun PAI??
46,2022-08-17 23:37:04+00:00,arismun60219134,@PendisKemenag Mohon di tindak asn ini karena sudah melakukan oencemaran nama baik dan kerugian di mutasi dan di tindak disiplin mohon kiranya bapak itjen menindak tegas terima kasih https://t.co/HAOdBlcjuJ
47,2022-08-17 23:35:20+00:00,arismun60219134,@PendisKemenag masalah nya ybs sdh membawa bawa instansi kami dan kami sangat di rugikan karir kami maaf sblmnya bapak ijin
48,2022-08-17 23:32:59+00:00,arismun60219134,@PendisKemenag maaf bukan saya menyebar luaskan karena ybs mwncoba mwlarikan diri dari masalah ini jadi kami mohon minta bantuan bapak pendis kemenag kami juga ada beberapa fhoto kenakalan beliau kami sdh menjadi korban kami di mutasi dan dan di beri tindak disiplin mohon kiranya bapak bertinda
49,2022-08-17 23:30:58+00:00,arismun60219134,@PendisKemenag ini nipnya  kami sangat kecewa penanganan di kemenag aceh langsa karena ybs sudah mengacak ngacak instansi kami https://t.co/xYBJo0WjDy
50,2022-08-17 23:26:08+00:00,arismun60219134,"@PendisKemenag kehilangan pekerjaan,kalau di tempat instansi kami sdh berbuat seperti itu pasti di pindah apakah di kemenag semua asn kebal hukum,?"
51,2022-08-17 23:25:04+00:00,arismun60219134,@PendisKemenag serta mencuri kontak yang ada di email tersebut dan menelfon dan mwnjapri pimpinan kami dan kami mendapat kerugian sangsi disiplin dan mutasi apakah dalah hal ini asn pantas untuk di beri tindakan karena mencemarkan nama baik kami di instansi kami dan mengalami kerugian
52,2022-08-17 23:23:10+00:00,arismun60219134,"@PendisKemenag assalamualikum bapak saya mau bertanya apakah asn kemenag itu kebal hukum walaupun dia sdh melanggar uu dan merugikan pihak korban kok di usut kasusnya,ini terjadi di madrasah negeri 2 langsa ada seorang guru dia mengambil email dan akun face book"
53,2022-08-17 09:35:11+00:00,AhmadJu24843713,@PendisKemenag Alhamdulillah...... semoga terwujud
54,2022-08-16 10:00:24+00:00,dwiagussamudra9,"@PendisKemenag 
@Kemenag_RI 

Alhamdulillah rekor 7 tahun, kalah sebelum bertanding di PPG.

Terverifikasi tapi belum pernah diikutsertakan dalam pre tes PPG.

Rodhitu Billah
#semangat
#ikhlas beramal"
55,2022-08-15 08:42:59+00:00,dwiagussamudra9,"@PendisKemenag @Kemenag_RI semoga tahun 2022 ini pre tes PPG, tidak seperti tahun2 sebelum terverifikasi tapi tidak pernah ikut pre tes PPG maupun PLPG dulunya....Aamin....
#Bahasa Asing/ Jerman
#antropologi
#kamijugagurukemenag RI"
56,2022-08-08 16:22:21+00:00,BigDasz,"@PendisKemenag @gtk_madrasah Gratis, pahala penuh"
57,2022-08-08 06:57:37+00:00,Dhimasnurw,"@PendisKemenag Assalamu'alaikum , untuk bop tpq kapan cairnya..."
58,2022-08-07 00:58:58+00:00,mus_newton,@PendisKemenag
59,2022-08-07 00:55:21+00:00,mus_newton,@PendisKemenag kami tidak bisa mengajar... Tapi kenapa gelar kami S. Pd. I... kami juga punya Akta IV waktu lulus kuliah... Mohon kebijaksanaan Bpk Dirjen Pendis... Untuk tahun berikutnya ijazah kami bisa ter akomodir..
60,2022-08-07 00:55:01+00:00,mus_newton,@PendisKemenag Assalamu'alaikum...Apa yang Salah dengan Ijazah kami Puluhan ribu Alumni Kependidikan Islam/Manajemen Pendidikan Islam sehingga tertolak ikut PPG... seolah ijazah kami tak ada nilai nya...padahal kami sdh mengabdi bertahun-tahun di MA... ada yang mengatakan
61,2022-08-06 01:52:33+00:00,NaslurJepara,@PendisKemenag Bisa didapatkan di mana min bukunya?
62,2022-08-04 07:22:06+00:00,Dhimasnurw,"@PendisKemenag Untuk bop tpq , kapa cairnya..."
63,2022-08-03 15:55:33+00:00,Dhimasnurw,"@PendisKemenag Assalamu'alaikum, mau tanya tentang bop tpq ... Kapan cairnya, udah sebulan molor dari timeline"
64,2022-08-02 13:16:57+00:00,maarifimogiri,@PendisKemenag Cocok.
65,2022-08-02 12:48:39+00:00,ParningotanAri1,@PendisKemenag https://t.co/Vsn9wuFVGR
66,2022-08-02 12:48:16+00:00,ParningotanAri1,@PendisKemenag https://t.co/Vsn9wuFVGR
67,2022-08-02 12:48:05+00:00,ParningotanAri1,@PendisKemenag https://t.co/Vsn9wuFVGR
68,2022-08-02 12:47:43+00:00,ParningotanAri1,@PendisKemenag https://t.co/Vsn9wuFVGR
69,2022-08-01 05:33:18+00:00,tibylin,"@PendisKemenag Halah, bos reguler aj dipangkas"
70,2022-08-01 05:31:53+00:00,FrLCnDLuV,"@PendisKemenag Ahh Thx so much admin @PendisKemenag , tulisan ku yg ga seberapa bagus itu akhirnya muncul di TL Tweeter 🙏"
71,2022-07-30 03:45:44+00:00,IgarNurdiansah2,@PendisKemenag Pak SIMPATIKA down kah?
72,2022-07-29 08:50:44+00:00,tibylin,@PendisKemenag Hadeeuh apa lg ini....?
73,2022-07-28 04:37:54+00:00,Rizkifernanda1R,@PendisKemenag Pembagian zona berdasrkan apa min ?
74,2022-07-28 03:41:02+00:00,tryhandoko123,@PendisKemenag PPPK guru madrasah dipikirkan pak
75,2022-07-23 13:55:52+00:00,Man1florestimur,@PendisKemenag Sukses selalu
76,2022-07-22 16:14:45+00:00,kemal_s03,"@PendisKemenag Mau bertanya NSM tidak muncul , pas membuat akun emis, langkah yang tepat untuk mepercata nya apa ya ?"
77,2022-07-21 21:20:57+00:00,PoncoIshak,@PendisKemenag Alamat link daftarnya admin.
78,2022-07-14 13:15:20+00:00,solehalfaizin,@PendisKemenag Gak diimbangi dengan kesejahteraan guru. GBPNS infonya akhir Juni sampe sekarang gak ada kabar
79,2022-07-10 15:32:11+00:00,Empok_lina,@PendisKemenag Insentif GBPNS gmn kbr???
80,2022-07-08 23:20:10+00:00,ParningotanAri1,@PendisKemenag https://t.co/YvL2jj0zyF
81,2022-07-08 17:29:25+00:00,BAMBANGMURYAN22,@PendisKemenag Mana link untuk daftar nya...?
82,2022-07-08 13:42:10+00:00,nunnajib982,"@PendisKemenag Min, nggak ada beasiswa guru Nahwu Shorof ya? 😅"
83,2022-07-06 10:02:40+00:00,ParningotanAri1,@PendisKemenag https://t.co/Vsn9wuFVGR
84,2022-07-06 07:51:30+00:00,AnnuarGunawan,"@PendisKemenag السلام عليكم ورحمة الله وبركاتة
Mohon maaf mengganggu.. Izin bertanya bapak/ibu admin.. 
Apakah  blangko ijazah untuk MA sudah bisa dipastikan kapan selesai dcetak nya..? Soalnya beberapa siswa membutuhkannya untuk masuk perguruan tinggi."
85,2022-07-06 07:34:48+00:00,tibylin,@PendisKemenag Yes
86,2022-07-05 23:51:02+00:00,fokus_belajar,@PendisKemenag Ditunggu hasil pengumumannya min....
87,2022-07-05 12:36:49+00:00,Kuamboblack,@PendisKemenag 😂😂😂😂😂😂😂😂😂😂😂😂
88,2022-07-05 12:35:46+00:00,Kuamboblack,@PendisKemenag 😂😂😂😂😂😂😂😂😂
89,2022-07-05 12:35:18+00:00,Kuamboblack,@PendisKemenag 😂😂😂😂😂
90,2022-07-05 02:04:11+00:00,tryhandoko123,"@PendisKemenag PPPK guru madrasah pak dibahas, kasian"
91,2022-07-04 06:57:43+00:00,Kuamboblack,@PendisKemenag Kualitasmu juga tingkatkan
92,2022-07-02 12:52:55+00:00,mahargiyant_,"@PendisKemenag hai min, hehe."
93,2022-07-01 15:45:33+00:00,Kuamboblack,@PendisKemenag Takuuutt ngumpet ahh
94,2022-07-01 06:25:28+00:00,MirzaHikmah,@PendisKemenag Min bgmna nasib guru madrasah tentang SE meniadakan libur semester? Mhon ditanggapi dan diberikan alasanlah. Kasian guru2 kemenag yg penempatan jauh dari keluarga 🙏🏻. Semoga segera direvisi ya min..
95,2022-07-01 06:24:48+00:00,MirzaHikmah,@PendisKemenag Min bgmna nasib guru madrasah tentang SE meniadakan libur semester? Mhon ditanggapi dan diberikan alasanlah. Kasian guru2 kemenag yg penempatan jauh dari keluarga 🙏🏻.. semoga segera direvisi yaa min..
96,2022-07-01 04:56:07+00:00,AbdinegaraSetia,@PendisKemenag min kapan bukaan pppk guru madrasah swasta?
97,2022-06-30 21:55:15+00:00,Kuamboblack,@PendisKemenag Semoga orang orang yang dzolim mendapar laknat Tuhan yang maha kuasa
98,2022-06-30 21:53:55+00:00,Kuamboblack,@PendisKemenag Ayo bikin SE lagi berdasakan hawa nafsunya
99,2022-06-30 05:54:24+00:00,Kuamboblack,@PendisKemenag Sesungguhnya dosa itu atas orang-orang yang berbuat zalim kepada sesama manusia dan melampaui batas di bumi tanpa (mengindahkan) kebenaran. Mereka itu mendapatkan siksa yang pedih” (QS asy-Syura: 42).
100,2022-06-30 02:34:02+00:00,harhaarr,@PendisKemenag @direktoridosen @Bebekaduskaliii
101,2022-06-30 00:28:27+00:00,nkstuhi,"@PendisKemenag halo admin yang dzalim dan tidak bijaksana. gimana kelanjutan libur semester guru madrasah. ngeri banget gak sih, didoakan orang se Indonesia yang merasa teraniaya. ati2 didoain jelek malah dikabulkan."
102,2022-06-29 18:00:18+00:00,oktarinaafida2,"@PendisKemenag Sampai sekarang belum ada tanggapan, konfirmasi sama sekali tentang SE perampasan hak libur guru, para pemangku jabatan, bagaimana anda bisa setega itu menghalangi jalan silaturahmi kami dg keluarga."
103,2022-06-29 17:12:02+00:00,Kuamboblack,"@PendisKemenag Posting SE perampasan libur guru donk, biar keren gitu.."
104,2022-06-28 23:22:59+00:00,Kuamboblack,@PendisKemenag Kreatifnya overdosis gak ketulungan
105,2022-06-28 23:17:15+00:00,Kuamboblack,"@PendisKemenag Mengerikan,kejam, dan otoriter"
106,2022-06-28 22:26:33+00:00,tryhandoko123,@PendisKemenag PPPK guru madrasah dipikirin min
107,2022-06-28 16:02:08+00:00,auni_19okt89,@PendisKemenag Mohon penjelasannya terkait edaran yg meniadakan libur semester bagi guru guru madrasah
108,2022-06-28 14:47:04+00:00,Kuamboblack,"@PendisKemenag Diam seperti siluman,  bergerak mendzolimi kereen"
109,2022-06-28 14:45:04+00:00,Kuamboblack,"@PendisKemenag Halah mental hitler lu, komentar IG aja pake ditutup segala, Wahai @PendisKemenag  anda harus mengklarifikasi sejelas2nya surat edaran konyol tentang libur madrasah yg sudah meresahkan itu"
110,2022-06-28 11:30:48+00:00,LbsDyna,@PendisKemenag Belajar diam bae nih... klarifikasi dong... guru di tekan2 seolah2 gurutuh ga penting x untuk libur.... guru BUKAN ROBOT MIN... #kembalikanliburguru #kembalikanhakguru
111,2022-06-28 11:25:42+00:00,tyass_11,@PendisKemenag Tolong ditinjau kembali SE yg membuat resah guru Madrasah..
112,2022-06-28 11:12:48+00:00,LbsDyna,@PendisKemenag Posting yang SE lah min... masa diem bae #selamatkanliburGURU
113,2022-06-28 10:09:02+00:00,UmarBakery4,@PendisKemenag Surat edaran yg entah dasar hukumnya apa ASN Guru tetep masuk padahal kemenpan sendiri menegaskan guru berhak memperoleh libur semester https://t.co/TsFAkOmTfF
114,2022-06-28 09:17:23+00:00,tryhandoko123,"@PendisKemenag Bahas PPPK Kemenag guru madrasah min,, udah ngabdi belasan sampai puluhan tahun ini,, masa kalah sm Dapodik baru bbrp bulan bs ikut PPPK,, sungguh kasian mereka"
115,2022-06-28 08:55:20+00:00,mahargiyant_,@PendisKemenag nggak bahas SE yg membuat para guru resah aja min?
116,2022-06-28 08:20:38+00:00,yuniaaMS,"@PendisKemenag Assalamualaikum admin pendiskemenag, kami ingin menanyakan aturan dasar hukum mana yg digunakan terkait Surat Edaran tentang Libur Akhir Semester pada Madrasah ? kenapa bertentangan dengan peraturan perundangan-undangan yang berlaku secara sah ? terimakasih"
117,2022-06-28 07:58:06+00:00,rizkyrosiana_,"@PendisKemenag Tolong alasannya kenapa guru madrasah dihapus libur semesternya. Kami yg bekerja 6hr seminggu, jauh dr keluarga, tunjangan non sertifikasi tidak penuh, diperlakukan sama dgn struktural. Semua akan dimintai pertanggungjawaban, ingat2 saja"
118,2022-06-28 07:09:50+00:00,siakkang,@PendisKemenag Kami butuh klarifikasi
119,2022-06-28 06:10:05+00:00,Airol_rulnex99,@PendisKemenag Diam seolah2 tidak terjadi apa2 dg guru2nya ..
120,2022-06-28 06:08:18+00:00,siakkang,@PendisKemenag Gg gaming min
121,2022-06-28 05:35:44+00:00,mahargiyant_,"@PendisKemenag min, ditagih dimana2 nih. kok diem2 wae? 😭"
122,2022-06-28 03:47:47+00:00,WitriNingsih,"@PendisKemenag Min kami butuh libur, jgn zolim kpd guru"
123,2022-06-28 03:40:13+00:00,depannyawarung,@PendisKemenag gimana kabar surat edarannya bpk/ibu? gak pengen ditarik? apa relevansinya mengeluarkan surat edaran mendadak dan isinya tidak memikirkan kesejahteraan guru? kalian malah mengambil hak² para guru
124,2022-06-28 00:42:45+00:00,Juniarni,"@PendisKemenag Dear Bapak Ditjen Pendis,  izin bertanya, apakah ada alasan khusus sehingga guru madrasah tidak lagi berhak mendapatkan jatah libur semester? @Kemenag_RI"
125,2022-06-28 00:40:26+00:00,bamz_susilo,@PendisKemenag Maaf min mau bertanya tentang SE Nomor B-1139.1/DJ.I/DT.1.1/06/2022 tentang libur akhir pada madrasah. Apakah memang guru2 di bawah naungan Kemenag yang berstatus ASN kembali masuk kerja seperti biasa? Mohon pencerahannya ya min
126,2022-06-27 16:03:45+00:00,jrgbukatwt,"@PendisKemenag gimana ini.. kok guru ga bisa dpat libur..suda kerja 6 hari, di madrasah sibuk dgn ratusan siswa, tunjangan dibedakan sm kantor, ppg macet.. mau apalagi sih.. ingat tanpa guru kalian bukan apa2..tlong ditindak lanjut pak @YaqutCQoumas @jokowi @Kemenag_RI"
127,2022-06-27 15:22:10+00:00,Paijo59409482,"@PendisKemenag Soal libur guru, tolong fikirkan guru yg merantau dan punya orang tua dipulau sebrang"
128,2022-06-27 14:57:49+00:00,siakkang,@PendisKemenag Mohon klarifikasinya terhadap SE meniadakan libur semester bagi guru
129,2022-06-27 13:05:34+00:00,cuculordrangga,"@PendisKemenag Jika belum bisa mensejahterakan guru, jangan rampas hak guru"
130,2022-06-27 11:37:46+00:00,auni_19okt89,@PendisKemenag Tolong Untuk pencerahannya terkait libur semester bagi guru madrasah.
131,2022-06-27 09:22:46+00:00,MinHarus,"@PendisKemenag Admin mohon info apa kh surat ini benar adanya, kami sebagai guru merasa resah dengan ditidakannya libur semester guru https://t.co/YSHZ1y2VZ2"
132,2022-06-27 09:09:03+00:00,dorynella,"@PendisKemenag 

Izin, Min. 

Apakah SE ini benar atau tidak?

Maaf dan terima kasih https://t.co/loPHK0k2Vg"
133,2022-06-27 07:49:21+00:00,tsalasatul,@PendisKemenag Salam mimin... Boleh info terkait beasiswa untuk dosen dibawah naungan kemenag?🙏
134,2022-06-27 07:14:27+00:00,tsalasatul,@PendisKemenag mohon info terkait beasiswa untuk dosen dibawah naungan kemenag.. karena mnrt info dosen kemenag tidak boleh mengikuti beasiswa BPI. Trims Mimin🙏
135,2022-06-21 11:28:49+00:00,tapaikelambu,"@PendisKemenag Admin nanya dong,
Gimana nih kabarnya tidak ada libur semester untuk guru Juli ini ?"
136,2022-06-15 03:56:33+00:00,abdulwahid56606,"@PendisKemenag Gimn nasif guru inpasing BPK Mentri,apakah ada harapan..p3k apa lagi PNS..bpk.."
137,2022-06-13 04:59:15+00:00,arabi_damuen,@PendisKemenag Aamien
138,2022-06-09 09:06:20+00:00,awanncerah,@PendisKemenag Hallo min penguman nya bisa di akses via apa ?
139,2022-06-04 03:13:05+00:00,ParningotanAri1,@PendisKemenag https://t.co/2D5AEOl9M6
140,2022-05-31 07:36:41+00:00,Munawwir90,"@PendisKemenag @PPesantren
Salam

Saya Muhammad Nasir Munawir dari Pondok Pesantren Riyadlul Quran Mojokerto,

Saya ingin menggunakan aplikasi elearning untuk di jalankan di lembaga kami apakah bisa?"
141,2022-05-31 04:30:13+00:00,MoalNkri,@PendisKemenag Assalamualaikum
142,2022-05-29 03:23:27+00:00,ika_nuansah,@PendisKemenag Pokja guru apa min?🙏🏻
143,2022-05-28 05:35:33+00:00,ParningotanAri1,@PendisKemenag https://t.co/QAWtzPcFQD
144,2022-05-21 11:04:33+00:00,tiecka19,"@PendisKemenag assalamualaikum bapak/ibu. mohon pencerahan nya untuk saya.
bagaimana cara MUTASI DARI DAPODIK KE SIMPATIKA??"
145,2022-05-18 16:33:34+00:00,SingghtkSubgguh,"@PendisKemenag min izin bertanya, ini untuk semua ptkin di Indonesia atau cuma yang sudah siap dari segi sarpras? https://t.co/Xoqj8MKUrd"
146,2022-05-17 08:02:10+00:00,salmaaishak,@PendisKemenag Mohon informasi bagaimana cara mengurus ijazah MA yg hilang?lulus sekitar tahun 2008 dan akan digunakan untuk melakukan pendaftaran universitas tahun ini 🙏
147,2022-04-23 13:44:33+00:00,KhoirulFathoni1,@PendisKemenag apa bnara syara pncairan BOS Hrus vaksin Boster...sdngksn sy bcs di juknis ada tpp insentif dll tdk ads juknis di juknis mslsh boster...gmna ini gru2 madrsahvtdk bisa d bsyar krna bos tdk cair klobtdk di boster
148,2022-04-23 13:42:00+00:00,KhoirulFathoni1,@PendisKemenag https://t.co/NCMEmNliYQ
149,2022-04-22 00:32:14+00:00,ziadatul_wardah,"@PendisKemenag tolong dong pak/bu pembayaran BOP RA dikembalikan kepada kemenag kab/kota,karena kalau di kanwil lebih lama proses'a,apalagi kami provinsi kepulauan,jaringan telekomunikasi jadi masalah utama,sehingga pendataan terkandala,berimbas kepada RA yg lain"
150,2022-04-19 21:35:21+00:00,blurmefree,"@PendisKemenag buat apa dana BOS jika masih ada pungutan di Madrasah Aliyah Negeri 2 diPekanbaru, nilainya pun bukan kecil 8,6 juta https://t.co/fkRaYx1Dku"
151,2022-04-19 05:16:33+00:00,anwarsarip226,@PendisKemenag Ya iyaa lah . Itukan uang amanah
152,2022-04-15 11:53:41+00:00,kimam24,@PendisKemenag Bos belum juga cair untuk madrasah aliyah
153,2022-04-14 06:47:44+00:00,kimam24,@PendisKemenag Kapan bos cair??
154,2022-04-13 18:50:30+00:00,kimam24,@PendisKemenag Kapan bos Madrasah aliyah bisa cair kasian sekolah swasta
155,2022-04-13 01:47:59+00:00,Darisma73502824,@PendisKemenag Doa kami d bulan ramadan ini semoga tunjangan insentif guru honor madrasah yg tahun ini dan yang tahun kemarin 4 bln gak di bayar bisa di bayarkan  padahal hanya Rp.250.000/bulan aminnn
156,2022-04-10 01:44:56+00:00,IMAMMARUFSPd1,@PendisKemenag SEMOGA PROGRAM LAMA PENERBITAN SK INPASSING TETAP JADI PRIORITAS
157,2022-04-09 23:28:25+00:00,1Okus,@PendisKemenag Faizah
158,2022-04-06 11:17:01+00:00,esteler1kg,"@PendisKemenag Semoga syaratnya asal terdaftar di simpatika dan S1, 
selain S1 pendidikan semoga bisa daftar🥺"
159,2022-04-06 06:32:57+00:00,ruliyaww,"@PendisKemenag Alhamdulillah angin segar, semoga terwujud 🤲"
160,2022-03-31 05:56:21+00:00,Alimusyafak_jpr,@PendisKemenag Barokallah
161,2022-03-23 06:33:49+00:00,medialaki,@PendisKemenag https://t.co/46FQm8Nr0i
162,2022-03-23 03:21:53+00:00,Alimusyafak_jpr,@PendisKemenag Barokalloh..
163,2022-03-19 00:52:48+00:00,NurjanahMajid,@PendisKemenag Alhamdulillah 🤲
